procedure_area,property_type_id,property_sub_type_id,area_id,property_total_value,row_status,property_category,Year,Month
236.44,2,4.0,352.0,1400000.0,1,2,2012,1
7432.26,1,63.0,394.0,15450000.0,1,2,2012,5
3135.48,1,65.0,438.0,2531250.0,1,1,2012,1
2181.36,1,65.0,322.0,6000000.0,1,1,2012,11
142436.93,1,64.0,397.0,76658950.0,1,3,2012,1
1137.13,1,63.0,368.0,12240000.0,1,2,2012,9
5462.7,1,65.0,347.0,60000000.0,1,1,2012,9
11287.71,1,63.0,234.0,175000000.0,1,2,2012,9
449.48,3,60.0,410.0,3900000.0,1,2,2012,1
1393.55,1,63.0,393.0,6300000.0,1,2,2012,2
223.43,1,63.0,276.0,1100000.0,1,2,2012,1
4645.15,1,65.0,309.0,4291249.0,1,1,2012,1
556.49,1,63.0,362.0,7487500.0,1,2,2012,2
125.44,3,42.0,526.0,750000.0,1,3,2012,2
1241.28,1,63.0,354.0,1870540.0,1,2,2012,2
6137.92,1,63.0,317.0,32000000.0,1,2,2012,2
250246.87,1,63.0,342.0,1100000000.0,1,2,2012,5
2792.39,1,63.0,375.0,12924510.0,1,2,2012,2
2501.51,1,38.0,278.0,45774200.0,1,2,2012,2
1090.59,1,63.0,300.0,1700000.0,1,2,2012,2
127.7,3,60.0,330.0,1200000.0,1,2,2012,2
25455.14,1,63.0,391.0,24659640.0,1,2,2012,5
1898.75,1,63.0,300.0,3678840.0,1,2,2012,2
18931.77,1,64.0,396.0,23434700.0,1,3,2012,5
1301.2,1,63.0,249.0,45000000.0,1,2,2012,8
969.54,1,63.0,434.0,3200000.0,1,2,2012,2
1178.94,1,63.0,434.0,4700000.0,1,2,2012,2
1374.96,1,63.0,264.0,4000000.0,1,2,2012,5
509.6,1,63.0,249.0,2797000.0,1,2,2012,5
1393.55,1,63.0,369.0,2400000.0,1,2,2012,1
268.4,1,63.0,240.0,1444500.0,1,2,2012,1
250246.87,1,63.0,342.0,219093760.0,1,2,2012,1
229.93,1,63.0,233.0,800000.0,1,2,2012,12
4176.18,1,63.0,232.0,10338960.0,1,2,2012,11
1393.55,1,63.0,232.0,3600000.0,1,2,2012,11
904.6,1,63.0,232.0,2336880.0,1,2,2012,11
1381.1,1,63.0,232.0,4162480.0,1,2,2012,11
232.26,1,63.0,317.0,1800000.0,1,2,2012,1
1393.55,1,63.0,232.0,3450000.0,1,2,2012,12
272.76,2,4.0,434.0,1500000.0,1,2,2012,1
1393.55,1,63.0,370.0,8250000.0,1,2,2012,1
98.48,3,60.0,390.0,850000.0,1,2,2012,1
243.09,2,4.0,352.0,1300000.0,1,2,2012,1
5402.87,1,63.0,409.0,20353900.0,1,2,2012,1
3066.08,1,65.0,373.0,10725000.0,1,1,2012,1
2787.09,1,65.0,271.0,9000000.0,1,1,2012,1
22928.2,1,65.0,372.0,51827370.0,1,1,2012,1
22920.04,1,65.0,372.0,49341800.0,1,1,2012,1
925.66,1,65.0,321.0,2191860.0,1,1,2012,1
4386.88,1,63.0,317.0,65000000.0,1,2,2012,9
1393.55,1,38.0,301.0,5625000.0,1,2,2012,1
13679.87,1,65.0,266.0,22087350.0,1,1,2012,1
836.13,1,63.0,249.0,4500000.0,1,2,2012,1
12863.91,1,63.0,332.0,276932000.0,1,2,2012,1
159.9,3,60.0,330.0,159.9,1,2,2012,1
75.8,3,60.0,351.0,650000.0,1,2,2012,1
128.35,3,60.0,330.0,1150000.0,1,2,2012,1
34837.88,1,63.0,434.0,63748640.0,1,2,2012,1
594.58,1,63.0,370.0,6500000.0,1,2,2012,5
238.18,2,4.0,352.0,1200000.0,1,2,2012,2
1398.84,1,63.0,266.0,3500000.0,1,2,2012,9
67354.68,1,65.0,308.0,58000000.0,1,1,2012,2
4459.34,1,63.0,318.0,16800000.0,1,2,2012,1
231.98,1,38.0,276.0,749100.0,1,2,2012,1
1393.55,1,63.0,232.0,3900000.0,1,2,2012,11
39899.98,1,4.0,364.0,171792000.0,1,2,2012,1
963.68,1,63.0,304.0,5800000.0,1,2,2012,1
22089.36,1,64.0,401.0,9510728.0,1,3,2012,1
192.03,2,4.0,352.0,1300000.0,1,2,2012,1
1173.27,1,63.0,339.0,22662000.0,1,2,2012,1
129.2,3,60.0,330.0,1300000.0,1,2,2012,1
347.21,2,4.0,352.0,1400000.0,1,2,2012,1
803.72,2,4.0,352.0,2300000.0,1,2,2012,1
84.82,3,60.0,351.0,700000.0,1,2,2012,1
101.05,3,60.0,330.0,850000.0,1,2,2012,1
104.89,3,60.0,390.0,1000000.0,1,2,2012,1
171.03,1,63.0,249.0,600000.0,1,2,2012,2
1393.55,1,63.0,264.0,2400000.0,1,2,2012,1
857.49,1,63.0,382.0,1846000.0,1,2,2012,9
1393.55,1,63.0,264.0,2550000.0,1,2,2012,2
6897.86,1,63.0,409.0,9652370.0,1,2,2012,8
269.7,1,63.0,249.0,638660.0,1,2,2012,8
1393.55,1,63.0,311.0,2250007.0,1,2,2012,2
82.38,3,60.0,330.0,600000.0,1,2,2012,2
2584.1,1,65.0,373.0,800000.0,1,1,2012,2
375.73,2,4.0,352.0,1500000.0,1,2,2012,2
2257.36,1,63.0,305.0,55000000.0,1,2,2012,1
232.26,1,63.0,328.0,1125000.0,1,2,2012,2
1393.55,1,63.0,264.0,2550000.0,1,2,2012,2
76.74,3,60.0,390.0,700000.0,1,2,2012,2
88.35,3,60.0,330.0,1000000.0,1,2,2012,2
4287.94,1,38.0,330.0,31385400.0,1,2,2012,2
4101.95,1,38.0,330.0,28699450.0,1,2,2012,2
18341.1,1,64.0,396.0,21716420.0,1,3,2012,2
255.01,2,4.0,352.0,1800000.0,1,2,2012,2
50.45,3,60.0,390.0,500000.0,1,2,2012,2
1393.55,1,63.0,232.0,8500000.0,1,2,2012,2
130.62,3,60.0,350.0,1000000.0,1,2,2012,1
801.29,1,63.0,434.0,3002000.0,1,2,2012,4
528.19,2,4.0,434.0,2550000.0,1,2,2012,4
150.11,3,60.0,330.0,1400000.0,1,2,2012,1
145.86,3,60.0,330.0,1300000.0,1,2,2012,1
192.78,3,60.0,330.0,2000000.0,1,2,2012,1
1858.06,1,63.0,314.0,6400000.0,1,2,2012,2
18225.34,1,64.0,396.0,17655840.0,1,3,2012,5
58336.49,1,64.0,396.0,62792900.0,1,3,2012,5
20203.24,1,64.0,396.0,20659270.0,1,3,2012,5
929.03,1,63.0,230.0,1800000.0,1,2,2012,4
112.02,3,60.0,330.0,1000000.0,1,2,2012,4
929.03,1,63.0,338.0,1700000.0,1,2,2012,4
929.03,1,63.0,364.0,2200000.0,1,2,2012,4
98.73,3,60.0,467.0,570000.0,1,2,2012,8
39.75,3,60.0,467.0,235000.0,1,2,2012,8
68.18,3,60.0,467.0,400000.0,1,2,2012,8
119.05,3,60.0,351.0,1000000.0,1,2,2012,8
100.68,3,60.0,330.0,1000000.0,1,2,2012,7
3648426.67,1,63.0,451.0,1570854188.0,1,2,2012,8
86119.17,1,65.0,248.0,203935386.6,1,1,2012,8
929.03,1,63.0,318.0,3500000.0,1,2,2012,1
7996.25,1,63.0,276.0,30124850.0,1,2,2012,1
10710.88,1,63.0,276.0,40351850.0,1,2,2012,1
85.01,3,60.0,390.0,800000.0,1,2,2012,1
1374.96,1,63.0,359.0,4700000.0,1,2,2012,1
1848.42,1,65.0,321.0,4576080.0,1,1,2012,1
153623.56,1,63.0,465.0,19794528.0,1,2,2012,1
1300.64,1,63.0,312.0,2250000.0,1,2,2012,2
7339.71,1,38.0,330.0,67153400.0,1,2,2012,2
155.98,3,60.0,350.0,1100000.0,1,2,2012,1
91.52,3,60.0,351.0,700000.0,1,2,2012,1
840.77,1,63.0,382.0,3200000.0,1,2,2012,2
86.03,3,60.0,330.0,1000000.0,1,2,2012,9
557.42,1,63.0,249.0,2400000.0,1,2,2012,8
929.03,1,63.0,232.0,2500000.0,1,2,2012,2
30475.9,1,63.0,393.0,81419250.0,1,2,2012,2
2261.07,1,63.0,301.0,14602800.0,1,2,2012,2
345.0,2,4.0,352.0,2200000.0,1,2,2012,2
254.97,2,4.0,352.0,1800000.0,1,2,2012,2
89.37,3,60.0,330.0,1000000.0,1,2,2012,2
444.54,1,63.0,238.0,4306500.0,1,2,2012,2
50.17,3,60.0,330.0,750000.0,1,2,2012,1
146.6,3,60.0,526.0,1400000.0,1,2,2012,1
318.27,2,4.0,352.0,1500000.0,1,2,2012,5
145.21,3,42.0,526.0,1100000.0,1,3,2012,8
3716.12,1,63.0,230.0,6838590.0,1,2,2012,7
2134.45,1,63.0,375.0,10500000.0,1,2,2012,5
108.67,3,60.0,330.0,1000000.0,1,2,2012,5
2949.58,1,63.0,317.0,8254740.0,1,2,2012,4
333.52,1,63.0,300.0,650000.0,1,2,2012,1
2059.66,1,63.0,266.0,5500000.0,1,2,2012,1
73.95,3,60.0,330.0,1000000.0,1,2,2012,1
257.18,2,4.0,352.0,1710000.0,1,2,2012,1
4253.38,1,63.0,300.0,9000000.0,1,2,2012,9
1515.62,1,63.0,312.0,3145240.0,1,2,2012,8
50.45,3,60.0,390.0,480000.0,1,2,2012,1
2716.58,1,63.0,276.0,15600000.0,1,2,2012,5
1393.55,1,63.0,357.0,2100000.0,1,2,2012,2
99.5,3,60.0,330.0,1000000.0,1,2,2012,2
